Date,Soil Moisture,Light Intensity,Temperature,Humidity
2023-08-31 00:00:00,732,6,22.368359375,49.77221243974478
2023-08-31 01:00:00,732,0,22.368359375,60.057169919618325
2023-08-31 02:00:00,733,0,20.2580078125,60.712982554156056
2023-08-31 03:00:00,732,0,22.368359375,46.88332003220461
2023-08-31 04:00:00,733,0,22.368359375,52.03848912300035
2023-08-31 05:00:00,733,0,22.368359375,56.85760964766752
2023-08-31 06:00:00,734,0,20.242578125,61.83168766329754
2023-08-31 07:00:00,734,64,20.3958984375,48.75345012533312
2023-08-31 08:00:00,733,391,22.368359375,54.53159149403914
2023-08-31 09:00:00,731,484,22.368359375,51.5827213948305
2023-08-31 10:00:00,730,532,22.368359375,52.02847043313035
2023-08-31 11:00:00,730,571,22.368359375,47.39013830486024
2023-08-31 12:00:00,731,600,22.368359375,54.580762000349154
2023-08-31 13:00:00,730,631,22.368359375,47.51738561494447
2023-08-31 14:00:00,732,644,22.368359375,44.81540430774551
2023-08-31 15:00:00,730,669,22.368359375,43.06862535592567
2023-08-31 16:00:00,732,652,22.368359375,40.542662804541536
2023-08-31 17:00:00,733,609,22.368359375,42.12784160779223
2023-08-31 18:00:00,730,612,22.368359375,50.53025615777791
2023-08-31 19:00:00,733,472,22.368359375,42.55579061246851
2023-08-31 20:00:00,734,20,22.368359375,43.56197940190748
2023-08-31 21:00:00,735,6,22.368359375,46.01098661760444
2023-08-31 22:00:00,736,6,22.368359375,58.18960158840167
2023-08-31 23:00:00,734,34,22.368359375,46.49289617133225
2023-09-01 00:00:00,732,3,22.368359375,49.86651090835984
2023-09-01 01:00:00,734,2,22.368359375,59.68888497887284
2023-09-01 02:00:00,734,2,22.368359375,62.31792972269207
2023-09-01 03:00:00,734,2,22.368359375,54.72575277205237
2023-09-01 04:00:00,734,2,22.368359375,50.16464656144726
2023-09-01 05:00:00,733,2,22.368359375,57.35021286840279
2023-09-01 06:00:00,733,2,22.368359375,63.6170864593604
2023-09-01 07:00:00,735,57,22.368359375,48.24249665295098
2023-09-01 08:00:00,731,376,22.368359375,55.42866333221538
2023-09-01 09:00:00,731,483,22.368359375,52.452045781452206
2023-09-01 10:00:00,733,523,22.368359375,46.380733984243136
2023-09-01 11:00:00,730,588,22.368359375,54.7786624499162
2023-09-01 12:00:00,731,595,22.368359375,65.21371899173936
2023-09-01 13:00:00,731,653,22.368359375,49.61423207253997
2023-09-01 14:00:00,729,660,22.368359375,44.645996520066426
2023-09-01 15:00:00,730,590,22.368359375,56.71337204230139
2023-09-01 16:00:00,729,625,22.368359375,44.2577239869986
2023-09-01 17:00:00,728,635,22.368359375,40.67392929310375
2023-09-01 18:00:00,728,622,25.2810546875,38.98776210874674
2023-09-01 19:00:00,727,447,22.368359375,37.99744211601939
2023-09-01 20:00:00,729,71,22.368359375,44.87969516006156
2023-09-01 21:00:00,728,63,22.368359375,42.27208802268845
2023-09-01 22:00:00,728,63,22.368359375,47.94792957020457
2023-09-01 23:00:00,727,1,22.368359375,54.576250991782565
2023-09-02 00:00:00,726,1,22.368359375,44.48523486065149
2023-09-02 01:00:00,724,1,22.368359375,44.52426763188752
2023-09-02 02:00:00,726,1,22.368359375,52.497110958128005
2023-09-02 03:00:00,723,1,22.368359375,48.77136521878763
2023-09-02 04:00:00,723,1,22.368359375,50.00146020459248
2023-09-02 05:00:00,722,1,22.368359375,52.730739010403866
2023-09-02 06:00:00,720,0,22.368359375,49.62679976837138
2023-09-02 07:00:00,722,53,22.368359375,53.05874375235425
2023-09-02 08:00:00,721,375,22.368359375,45.2963631449971
2023-09-02 09:00:00,721,473,22.368359375,50.73621366630838
2023-09-02 10:00:00,721,518,22.368359375,55.87542301696849
2023-09-02 11:00:00,723,553,22.368359375,46.145558467383054
2023-09-02 12:00:00,721,594,22.368359375,47.4670395100892
2023-09-02 13:00:00,720,631,22.368359375,43.395004370341205
2023-09-02 14:00:00,717,600,22.368359375,51.905389980471256
2023-09-02 15:00:00,719,638,22.368359375,43.2852432222947
2023-09-02 16:00:00,717,648,25.1634765625,40.99842864307477
2023-09-02 17:00:00,715,614,22.368359375,39.734055166366055
2023-09-02 18:00:00,713,630,22.368359375,40.78989350918879
2023-09-02 19:00:00,712,525,22.368359375,38.90268664862922
2023-09-02 20:00:00,711,41,22.368359375,39.53954080272808
2023-09-02 21:00:00,711,0,22.368359375,38.76852309640552
2023-09-02 22:00:00,712,6,22.368359375,39.64963314606662
2023-09-02 23:00:00,712,5,22.368359375,53.113431936495104
2023-09-03 00:00:00,709,0,22.368359375,46.34323523453264
2023-09-03 01:00:00,710,0,22.368359375,43.7261431241884
2023-09-03 02:00:00,709,0,22.368359375,55.33089062138963
2023-09-03 03:00:00,708,0,22.368359375,51.421835148788375
2023-09-03 04:00:00,708,0,22.368359375,48.35941084957491
2023-09-03 05:00:00,707,0,22.368359375,58.161079480267645
2023-09-03 06:00:00,706,0,22.368359375,51.95134113885738
2023-09-03 07:00:00,707,55,22.368359375,53.80142840504882
2023-09-03 08:00:00,704,384,22.368359375,59.42996961145423
2023-09-03 09:00:00,705,486,22.368359375,47.94270448840662
2023-09-03 10:00:00,704,533,23.4720703125,62.78949773329368
2023-09-03 11:00:00,704,562,22.368359375,44.84121048637809
2023-09-03 12:00:00,703,600,22.368359375,60.34661263241847
2023-09-03 13:00:00,703,615,22.368359375,44.33827168980029
2023-09-03 14:00:00,701,667,22.368359375,43.36623173295967
2023-09-03 15:00:00,700,665,22.368359375,42.26681286938876
2023-09-03 16:00:00,699,642,22.368359375,41.76876188783253
2023-09-03 17:00:00,696,619,22.368359375,40.58215223951149
2023-09-03 18:00:00,695,623,22.368359375,39.18751283064587
2023-09-03 19:00:00,695,528,22.368359375,38.19700705777889
2023-09-03 20:00:00,693,67,22.368359375,42.07300551789951
2023-09-03 21:00:00,690,33,22.368359375,52.891927666654354
2023-09-03 22:00:00,690,32,22.368359375,44.367365007606935
2023-09-03 23:00:00,691,33,22.368359375,42.55736376316777
2023-09-04 00:00:00,690,1,22.368359375,57.90388820409375
2023-09-04 01:00:00,686,5,22.368359375,55.08825726540959
2023-09-04 02:00:00,685,5,22.368359375,49.23879798650529
2023-09-04 03:00:00,685,5,23.4720703125,64.78954973878086
2023-09-04 04:00:00,684,5,22.368359375,57.86437608737037
2023-09-04 05:00:00,685,5,22.368359375,52.57380563917702
2023-09-04 06:00:00,684,5,22.368359375,66.79326654577773
2023-09-04 07:00:00,682,50,22.368359375,58.198881749248685
2023-09-04 08:00:00,682,373,22.368359375,54.72764457566311
2023-09-04 09:00:00,680,488,22.368359375,68.22846371324397
2023-09-04 10:00:00,678,574,22.368359375,53.92919580112806
2023-09-04 11:00:00,676,592,22.368359375,49.61516941012471
2023-09-04 12:00:00,679,596,22.368359375,46.97712150715375
2023-09-04 13:00:00,678,617,22.368359375,45.327455644429946
2023-09-04 14:00:00,677,643,22.368359375,45.46345291314081
2023-09-04 15:00:00,674,606,22.368359375,44.436349722950496
2023-09-04 16:00:00,674,595,22.368359375,44.41951119653755
2023-09-04 17:00:00,673,548,22.368359375,44.59935149505869
2023-09-04 18:00:00,672,620,22.368359375,42.850836488676606
2023-09-04 19:00:00,671,564,22.368359375,40.76011490483128
2023-09-04 20:00:00,670,69,22.368359375,42.89391065939186
2023-09-04 21:00:00,672,65,22.368359375,42.558223617864506
2023-09-04 22:00:00,670,1,22.368359375,43.09859586223392
2023-09-04 23:00:00,667,1,22.368359375,52.87523472506277
2023-09-05 00:00:00,667,6,22.368359375,48.77675089135786
2023-09-05 01:00:00,667,5,22.368359375,48.17998317345559
2023-09-05 02:00:00,667,5,22.368359375,63.82310039936211
2023-09-05 03:00:00,666,6,22.368359375,47.4492116261227
2023-09-05 04:00:00,668,0,22.368359375,57.36789906095887
2023-09-05 05:00:00,667,0,22.368359375,64.32255411957063
